OBJECTID_1,OBJECTID,CITY_TYPE,LCITY,COMMUNITY,LABEL,SOURCE,ShapeSTAre,ShapeSTLen,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2020 Total Population
90,136,City,Los Angeles,Rancho Park,Los Angeles - Rancho Park,LA City,23474757.34375000,22114.70211768,29,US,90,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,6630.00000000
91,137,City,Los Angeles,Regent Square,Los Angeles - Regent Square,LA City,5641270.59082031,10671.47936941,0,US,91,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,2754.00000000
92,138,City,Los Angeles,Reseda,Los Angeles - Reseda,LA City,172710420.51953101,60082.49180751,1,US,92,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,74009.00000000
93,139,City,Los Angeles,Reseda Ranch,Los Angeles - Reseda Ranch,LA City,20059159.66308590,19423.14609622,2,US,93,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,4769.00000000
94,140,City,Los Angeles,Reynier Village,Los Angeles - Reynier Village,LA City,9661503.48339844,14772.49973869,3,US,94,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,4113.00000000
95,141,City,Los Angeles,San Pedro,Los Angeles - San Pedro,LA City,332166938.22753900,312723.48821456,4,US,95,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,75696.00000000
96,142,City,Los Angeles,Shadow Hills,Los Angeles - Shadow Hills,LA City,85188064.30859379,49148.43834653,5,US,96,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,4665.00000000
97,143,City,Los Angeles,Sherman Oaks,Los Angeles - Sherman Oaks,LA City,305649530.48925799,95426.71027084,6,US,97,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,84910.00000000
98,144,City,Los Angeles,Silverlake,Los Angeles - Silverlake,LA City,106082837.67773400,64788.65187296,7,US,98,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,42407.00000000
99,145,City,Los Angeles,South Carthay,Los Angeles - South Carthay,LA City,14799254.13964840,18153.18548968,8,US,99,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,10204.00000000
100,146,City,Los Angeles,South Park,Los Angeles - South Park,LA City,40186362.47656250,27708.01803373,9,US,100,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,37261.00000000
101,147,City,Los Angeles,St Elmo Village,Los Angeles - St Elmo Village,LA City,4181467.20312500,8771.42899961,10,US,101,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,4619.00000000
102,148,City,Los Angeles,Studio City,Los Angeles - Studio City,LA City,119814721.59960900,67206.60417188,11,US,102,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,21708.00000000
103,149,City,Los Angeles,Sun Valley,Los Angeles - Sun Valley,LA City,383745979.29785198,148133.09181980,12,US,103,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,52864.00000000
104,150,City,Los Angeles,Sunland,Los Angeles - Sunland,LA City,184207696.36132801,108169.63752245,13,US,104,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,20127.00000000
105,151,City,Los Angeles,Sycamore Square,Los Angeles - Sycamore Square,LA City,1831246.99414063,5944.48846279,14,US,105,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,623.00000000
106,152,City,Los Angeles,Sylmar,Los Angeles - Sylmar,LA City,330170563.01855499,119721.62726984,15,US,106,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,82900.00000000
107,153,City,Los Angeles,Tarzana,Los Angeles - Tarzana,LA City,179079757.20312500,74083.35866930,16,US,107,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,29817.00000000
108,154,City,Los Angeles,Temple-Beaudry,Los Angeles - Temple-Beaudry,LA City,38649818.51367190,54358.39112750,17,US,108,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,38266.00000000
109,155,City,Los Angeles,Thai Town,Los Angeles - Thai Town,LA City,6113946.98339844,10572.17451679,18,US,109,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,9431.00000000
110,156,City,Los Angeles,Toluca Lake,Los Angeles - Toluca Lake,LA City,28797142.83300780,25642.73355407,19,US,110,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,8460.00000000
111,157,City,Los Angeles,Toluca Terrace,Los Angeles - Toluca Terrace,LA City,2478044.86425781,6540.31247876,20,US,111,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,1415.00000000
112,158,City,Los Angeles,Toluca Woods,Los Angeles - Toluca Woods,LA City,7178904.11914063,12247.82218902,21,US,112,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,1821.00000000
113,159,City,Los Angeles,Tujunga,Los Angeles - Tujunga,LA City,153839505.10058600,71574.32758654,22,US,113,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,27634.00000000
114,160,City,Los Angeles,University Hills,Los Angeles - University Hills,LA City,13137886.53515630,18279.54128681,23,US,114,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,3183.00000000
