location,locatpopulationion,cases,risk_score,last_date
LANCASTER,169552,"[655,662,668,668,680,692,703,719]","[235.8379506,244.1976307,253.2342688,263.0004706,273.5538577,284.957827,297.2821441,310.6039401]",6/11/2020
LAWNDALE,42232,"[134,135,138,138,142,143,148,151]","[371.4154431,384.5808997,398.8124809,414.1930343,430.8133064,448.77314,468.1824067,489.1625786]",6/11/2020
LOMITA,45781,"[53,53,53,53,54,53,53,53]","[422.7488141,437.73387,453.9323997,471.438701,490.3560629,510.7981271,532.8899509,556.7697947]",6/11/2020
LYNWOOD,72189,"[699,719,741,741,777,794,828,852]","[386.872937,400.5863109,415.4101793,431.4308374,448.7428088,467.4500911,487.6671288,509.5204493]",6/11/2020
NORTH HILLS,60919,"[516,520,524,524,537,544,555,576]","[234.6209012,242.937441,251.9274452,261.6432483,272.1421742,283.487293,295.7480101,309.0010585]",6/11/2020
NORTH HOLLYWOOD,151354,"[771,780,786,786,814,829,845,871]","[224.5532026,232.5128756,241.1171143,250.4160074,260.4644193,271.3227134,283.0573171,295.7416706]",6/11/2020
NORTHRIDGE,67755,"[375,383,387,387,403,408,409,417]","[296.4994806,307.0094126,318.3704276,330.6486626,343.9165602,358.2538243,373.7481653,390.4965536]",6/11/2020
PACOIMA,79940,"[848,849,852,852,886,897,916,940]","[173.66944,179.8254508,186.4799688,193.6717325,201.4431739,209.8409783,218.9165204,228.726599]",6/11/2020
PALMDALE,159689,"[4,4,4,4,4,5,5,6]","[341.0590871,353.1485106,366.2169228,380.3403998,395.6022716,412.0942202,429.9171377,449.1825679]",6/11/2020
PANORAMA CITY,76007,"[859,869,894,894,924,943,955,982]","[273.161882,282.8445728,293.3113576,304.6231675,316.8467433,330.0555154,344.3302903,359.7604059]",6/11/2020
PARAMOUNT,56225,"[397,416,422,422,451,456,468,486]","[175.8649597,182.0987945,188.8374385,196.1201201,203.9898076,212.4937766,221.6840512,231.6181483]",6/11/2020
PICO RIVERA,64052,"[579,595,607,607,618,632,655,665]","[220.5557051,228.3736799,236.8247459,245.9581001,255.8276301,266.4926248,278.018329,290.4768756]",6/11/2020
PLAYA VISTA,27092,"[30,32,32,32,32,32,32,33]","[599.3492514,620.5942122,643.5595674,668.3790069,695.1989679,724.1805651,755.5010977,789.3565837]",6/11/2020
POMONA,157108,"[3,3,3,3,3,4,4,4]","[402.7228273,416.9980277,432.4292187,449.106231,467.1274607,486.6011661,507.6464806,530.395115]",6/11/2020
PORTER RANCH,33206,"[94,95,95,95,97,97,98,103]","[495.651934,513.2211658,532.2131353,552.7384019,574.9180668,598.8853691,624.7869324,652.7848602]",6/11/2020
RANCHO PALOS VERDES,42908,"[96,96,98,98,99,99,100,104]","[371.880491,385.062432,399.3118326,414.7116438,431.3527262,449.3350472,468.7686162,489.7750573]",6/11/2020
REDONDO BEACH,69316,"[146,147,148,148,150,151,151,154]","[376.6641131,390.0156178,404.4483131,420.0462172,436.9013593,455.1149929,474.7985424,496.0751962]",6/11/2020
RESEDA,75758,"[671,682,692,692,713,712,720,729]","[420.3105389,435.2091659,451.3142678,468.7195987,487.5278515,507.8520126,529.816418,553.5585308]",6/11/2020
SAN DIMAS,34330,"[70,71,74,74,77,79,79,80]","[388.7152697,402.4939483,417.3884096,433.4853599,450.8797728,469.6761413,489.9894549,511.9468434]",6/11/2020
SAN FERNANDO,48440,"[203,206,212,212,225,230,231,235]","[389.9485216,403.7709149,418.7126308,434.8606509,452.31025,471.1662525,491.5440128,513.5710641]",6/11/2020
SAN PEDRO,79805,"[936,937,947,947,965,972,987,1000]","[416.2012392,430.9542051,446.9018504,464.1370124,482.7613804,502.8868359,524.6364993,548.1464898]",6/11/2020
SHERMAN OAKS,84967,"[246,251,254,254,267,272,273,277]","[275.0765398,284.827099,295.367248,306.7583451,319.0675989,332.3689545,346.7437847,362.2820538]",6/11/2020
SOUTH EL MONTE,32030,"[9,9,9,9,9,9,9,9]","[643.5176275,666.3282121,690.9859735,717.634454,746.4308821,777.548246,811.1769104,847.5273387]",6/11/2020
SOUTH GATE,99739,"[734,778,809,809,850,884,944,979]","[342.2260621,354.3568511,367.4699784,381.6417807,396.9558727,413.5042506,431.3881514,450.7195005]",6/11/2020
SOUTH PASADENA,39453,"[134,134,134,134,136,136,137,140]","[637.365474,659.9579849,684.3800134,710.7737292,739.2948579,770.1147337,803.4219015,839.4248127]",6/11/2020
STUDIO CITY,32881,"[86,86,86,86,88,89,89,88]","[534.3234852,553.2634964,573.7372495,595.86393,619.7740876,645.6113569,673.5338013,703.7161719]",6/11/2020
SUN VALLEY,55192,"[337,341,343,343,362,364,369,379]","[336.296773,348.2173881,361.103322,375.0295885,390.078354,406.3400205,423.9140711,442.910492]",6/11/2020
SUNLAND,38465,"[162,163,165,165,168,166,166,171]","[451.9289607,467.9483568,485.2649866,503.9796566,524.2027854,546.0558587,569.6725659,595.2007108]",6/11/2020
SYLMAR,82749,"[883,883,889,889,912,917,932,969]","[352.8268104,365.333361,378.8526788,393.4634649,409.2519242,426.3129024,444.7507725,464.6809269]",6/11/2020
TARZANA,30227,"[187,235,261,261,265,270,273,278]","[319.3313311,330.6505771,342.8864436,356.1101602,370.3997482,385.8410489,402.5285268,420.5666195]",6/11/2020
TORRANCE,146686,"[410,409,410,410,414,417,422,426]","[433.1287865,448.4817783,465.0780389,483.0141817,502.3960314,523.3400203,545.9742761,570.4404542]",6/11/2020
TUJUNGA,28196,"[131,131,133,133,135,135,135,137]","[521.8113579,540.3078553,560.3021793,581.9107246,605.2609836,630.4932277,657.7618188,687.2374159]",6/11/2020
VALLEY VILLAGE,53274,"[221,222,225,225,226,231,235,245]","[520.7072301,539.1645898,559.1166068,580.6794294,603.9802804,629.1591343,656.3700264,685.7832546]",6/11/2020
VAN NUYS,92856,"[813,821,830,830,864,880,890,904]","[172.8605771,178.9879164,185.611441,192.7697092,200.5049552,208.8636469,217.8969198,227.6613082]",6/11/2020
VENICE,34136,"[67,68,70,70,72,73,73,74]","[509.5340904,527.595399,547.1192931,568.2194288,591.0202989,615.6588744,642.2858854,671.0679756]",6/11/2020
WEST HILLS,41543,"[149,150,152,152,158,159,166,171]","[624.3128776,646.442717,670.3646071,696.2178066,724.1548515,754.3435676,786.9686386,822.2342467]",6/11/2020
WILMINGTON,57279,"[308,313,322,322,341,342,354,365]","[349.469115,361.8566464,375.2473069,389.7190486,405.3572562,422.2558727,440.5182778,460.2587658]",6/11/2020
WINNETKA,55773,"[327,328,330,330,337,345,352,356]","[380.183921,393.6601913,408.2277556,423.9714172,440.9840654,459.3678996,479.2353857,500.7108632]",6/11/2020
WOODLAND HILLS,64543,"[174,178,180,180,186,191,194,197]","[484.1714289,501.3337145,519.8857838,539.9356353,561.6015651,585.0137264,610.3153465,637.6647741]",6/11/2020
